id,name,barcode,price,variation_name,tax_type,category_id,description,unit
10022,種粕 20kg,#2000000000619,1800,通常価格,外税,,,
10022,種粕 20kg,#2000000000077,1700,売出価格,外税,,,
10022,種粕 20kg,#2000000000084,1700,予約売出価格,外税,,,
10049,種粕ペレット 20kg,#2000000000053,1900,通常価格,外税,,,
10049,種粕ペレット 20kg,#2000000001555,1800,売出価格,外税,,,
10048,ナチュラル 20kg,#2000000000046,4180,,外税,,,
10051,園芸有機10号 20kg,#2000000000091,3830,通常価格,外税,,,
10051,園芸有機10号 20kg,#2000000001005,3580,売出価格,外税,,,
10916,まるやま固形1号　20kg,,4980,,外税,,,
10052,そさい専用12-10-10  20kg,#2000000000107,3360,通常価格,外税,,,
10052,そさい専用12-10-10  20kg,#2000000001043,3180,売出価格,外税,,,
10052,そさい専用12-10-10  20kg,#2000000006789,3080,予約売出価格,外税,,,
10053,高度化成403  20kg,#2000000000114,3080,通常価格,外税,,,
10053,高度化成403  20kg,#2000000001029,2880,売出価格,外税,,,
10047,千代田化成 20kg,#2000000000039,5480,通常価格,外税,,,
10047,千代田化成 20kg,#2000000001067,5280,売出価格,外税,,,
10054,ニューホスカ382  20kg,#2000000000121,2980,通常価格,外税,,,
10054,ニューホスカ382  20kg,#2000000001036,2680,売出価格,外税,,,
10054,ニューホスカ382  20kg,#2000000006802,2580,予約売出価格,外税,,,
10055,有機化成3-10-10  20kg,#2000000000138,2980,通常価格,外税,,,
10055,有機化成3-10-10  20kg,#2000000001074,2780,売出価格,外税,,,
10056,大成化成8号 8-8-8   20kg,#2000000000145,2280,,外税,,,
10073,苦土入り化成4862  20kg,#2000000000305,2580,通常価格,外税,,,
10073,苦土入り化成4862  20kg,#2000000001166,2380,売出価格,外税,,,
10057,苦土石灰(粉)  20kg,#2000000000152,480,通常価格,外税,,,
10057,苦土石灰(粉)  20kg,#2000000002057,430,売出価格,外税,,,
10058,苦土石灰(粒)  20kg,#2000000000169,680,通常価格,外税,,,
10058,苦土石灰(粒)  20kg,#2000000002064,580,売出価格,外税,,,
10059,マグランド(生石灰)  20kg,#2000000000176,1430,通常価格,外税,,,
10059,マグランド(生石灰)  20kg,#2000000001227,1280,売出価格,外税,,,
10064,土太郎  30L,#4950465050057,1330,通常価格,外税,,,
10064,土太郎  30L,#2000000001258,1200,売出価格,外税,,,
10060,ファーム48(有機石灰)  20kg,#2000000000183,880,通常価格,外税,,,
10060,ファーム48(有機石灰)  20kg,#2000000001012,690,売出価格,外税,,,
10061,石灰窒素(粒)  20kg,#2000000000190,3890,通常価格,外税,,,
10061,石灰窒素(粒)  20kg,#2000000001050,3750,売出価格,外税,,,
10062,発酵ケイフン 15kg,#2000000000206,138,通常価格,外税,,,
10062,発酵ケイフン 15kg,#2000000001210,95,売出価格,外税,,,
10063,牛フン堆肥   40L,#2000000000213,380,通常価格,外税,,,
10063,牛フン堆肥   40L,#2000000001319,328,売出価格,外税,,,
10065,ゴールド21(完熟堆肥)  45L,#2000000000220,930,通常価格,外税,,,
10065,ゴールド21(完熟堆肥)  45L,#2000000001302,850,売出価格,外税,,,
10065,ゴールド21(完熟堆肥)  45L,,830,予約売出価格,外税,,,
10074,イーグルチャンス 20kg,#2000000000312,4540,,外税,,,
10075,ユーキペレ885  20kg,#2000000000329,3450,,外税,,,
10076,マグミタス  15kg,#2000000000336,1950,通常価格,外税,,,
10076,マグミタス  15kg,#2000000001807,1850,売出価格,外税,,,
10340,硫安 大粒 20kg,#2000000000893,1580,,外税,,,
10424,クリーンライナー 20kg,#2000000000961,798,,外税,,,
10574,バイオノ有機　20kg,,3680,通常価格,外税,,,
10574,バイオノ有機　20kg,,3480,売出価格,外税,,,
10659,尿素　20kg,#2000000002026,2780,,外税,,,
10798,過リン酸石灰　20kg,,2400,,外税,,,
10817,野菜の匠　12ー15ー10 20kg,#2000000003306,3280,通常価格,外税,,,
10817,野菜の匠　12ー15ー10 20kg,#2000000003313,2980,売出価格,外税,,,
10817,野菜の匠　12ー15ー10 20kg,#2000000006796,2880,予約売出価格,外税,,,
10918,たね培土1号　40リットル,,1860,,外税,,,
10958,消石灰顆粒　20kg,#2000000003979,990,,外税,,,
10985,高度444  20kg,#2000000003986,2480,通常価格,外税,,,
10985,高度444  20kg,#2000000005775,2280,売出価格,外税,,,
11004,ナンラ　融雪剤　25kg,#2000000003993,2380,,外税,,,
11005,魚粉　20kg,#2000000004006,3780,通常価格,外税,,,
11005,魚粉　20kg,#2000000004013,3580,予約価格,外税,,,
11472,ベストマッチ　タマネギ用　20kg,,7180,,外税,,,
11473,有機液肥1号,,5300,,外税,,,
11512,カルスNC  10kg,#4580184270018,6300,通常価格,外税,,,
11512,カルスNC  10kg,#4580184270018,6150,売出価格,外税,,,
11834,カニに専科　15kg,#2000000006086,1880,通常価格,外税,,,
11834,カニに専科　15kg,#2000000006093,1680,売出価格,外税,,,
12015,なるこ有機　20kg,,4480,,外税,,,
12021,ニトロアルファ,#2000000006727,4390,通常価格,外税,,,
12021,ニトロアルファ,#2000000006734,4250,売出価格,外税,,,
12075,ネガアップ　20kg,,2980,,外税,,,
12076,カルミタス　20ｋｇ,,1980,,外税,,,
12083,アクター7  20kg,#2000000006369,980,,外税,,,
12090,有機液肥12号,,5250,,外税,,,
12091,有機液肥１３号,,6250,,外税,,,
12095,かにがら　20kg,,3280,,外税,,,
12096,銀河一号　20kg,,4780,,外税,,,
12098,彩農　14－8－10－1　20kg,,3680,,外税,,,
12099,カリショット　10kg,,4980,,外税,,,
12170,金星化成３号,,3150,,外税,,,
12323,消石灰　粉　20kg,,930,,外税,,,
12346,ガッテン菌力　20kg,#2000000006857,2280,通常価格,外税,,,
12346,ガッテン菌力　20kg,#2000000006864,1980,売出価格,外税,,,
12384,エキスパート743 20kg,,2950,,外税,,,
12434,ライムショット　10kg,#4951795164612,4980,,外税,,,
12499,カニ炭　30L,,1530,,外税,,,
12500,バイオ堆肥　40L,,560,,外税,,,
12520,鉄Oneダッシュ,#2000000008219,1980,通常価格,外税,,,
12520,鉄Oneダッシュ,#2000000008226,1890,売出価格,外税,,,
12563,たわらファームの培養土　25L,,1700,,外税,,,
12564,【サービス品】たわらファームの培養土,,0,,外税,,,
12575,ナガオカユーキ5号　8-10-12,,4980,,外税,,,
10069,化成肥料 4kg,#2000000000268,850,,外税,,,
10070,花と野菜の肥料 5kg,#2000000000275,1170,,外税,,,
10071,種粕 10kg,#2000000000282,1180,通常価格,外税,,,
10071,種粕 10kg,#2000000001562,980,売出価格,外税,,,
10072,化成肥料 10kg,#2000000000299,1680,通常価格,外税,,,
10072,化成肥料 10kg,#2000000001548,1480,売出価格,外税,,,
10077,ジャガイモ専用肥料 4kg,#2000000000343,1280,通常価格,外税,,,
10077,ジャガイモ専用肥料 4kg,#2000000001579,1080,売出価格,外税,,,
10078,スイカ.メロン肥料  4kg,#2000000000350,1250,通常価格,外税,,,
10078,スイカ.メロン肥料  4kg,#2000000001654,1100,売出価格,外税,,,
10079,トマト元気　5kg,#2000000001661,1130,通常価格,外税,,,
10079,トマト元気　5kg,#2000000001661,950,売出価格,外税,,,
10080,苦土石灰 小袋 4kg,#2000000000374,230,,外税,,,
10081,生石灰 小袋 4kg,#2000000000381,430,,外税,,,
10082,有機石灰 小袋 4kg,#2000000000398,390,,外税,,,
10083,有機化成 小袋 4kg,#2000000000404,1200,,外税,,,
10298,草木灰 500g,#4962311950015,420,,外税,,,
10965,有機石灰　小袋　1.5kg,#2000000005799,240,,外税,,,
10084,千代田化成 小袋 4kg,#2000000000411,1500,,外税,,,
10289,多木有機液肥8-3-5  600ml,#4951795160362,880,通常価格,外税,,,
10289,多木有機液肥8-3-5  600ml,#4951795160362,790,売出価格,外税,,,
10290,多木有機液肥6-8-3  600ml,#4951795160263,880,通常価格,外税,,,
10290,多木有機液肥6-8-3  600ml,#4951795160263,790,売出価格,外税,,,
10291,エキタン有機 5L,#4515262511028,3600,通常価格,外税,,,
10291,エキタン有機 5L,#4515262511028,3400,売出価格,外税,,,
10292,エキタン有機  600g,#4515262511011,1380,通常価格,外税,,,
10292,エキタン有機  600g,#4515262511011,1180,売出価格,外税,,,
10293,ハイポネックス6-10-5  450ml,#4977517180029,580,,外税,,,
10294,醗酵油かす小粒 500g,#4560194952081,280,,外税,,,
10295,油かす1kg,#2000000000787,250,,外税,,,
10296,大粒化成肥料  900g,#2000000000794,330,,外税,,,
10297,元肥一発サツマイモ専用 肥料 500g,#2000000000800,430,,外税,,,
10301,土太郎洋蘭の土 ５Ｌ,#2000000000831,490,,外税,,,
10302,油かす 3kg,#2000000000848,630,,外税,,,
10338,イモ.マメ専用肥料 4kg,#2000000000886,960,通常価格,外税,,,
10338,イモ.マメ専用肥料 4kg,#2000000004747,890,売出価格,外税,,,
10312,土太郎  14L,#4950465011027,870,,外税,,,
10299,硫安小袋  2kg,#2000000000817,290,,外税,,,
10478,イチゴ専用肥料 4kg,#2000000001104,1090,通常価格,外税,,,
10478,イチゴ専用肥料 4kg,#2000000001111,980,売出価格,外税,,,
10482,タマネギ専用肥料 2kg 300本分,#2000000001272,1150,通常価格,外税,,,
10482,タマネギ専用肥料 2kg 300本分,#2000000001289,980,売出価格,外税,,,
10547,タマネギ竹炭 300g,#4945989000275,580,,外税,,,
10570,発芽バッチリ 3kg,#2000000001616,580,,外税,,,
10829,野菜の肥料　1.6kg,#4513272088356,780,通常価格,外税,,,
10829,野菜の肥料　1.6kg,#4513272088356,598,売出価格,外税,,,
10830,芝生の肥料　細粒　2kg,#4513272088097,650,,外税,,,
11119,アグリメイト　250ml,#4527902010068,950,,外税,,,
10831,お花の肥料　2kg,#4513272088066,650,,外税,,,
11132,白菜キャベツブロッコリー専用肥料　２ｋｇ,#2000000003955,980,通常価格,外税,,,
11132,白菜キャベツブロッコリー専用肥料　２ｋｇ,#2000000003962,780,売出価格,外税,,,
10832,ふっカル　2kg,#4513272016076,780,通常価格,外税,,,
10832,ふっカル　2kg,#4513272016076,580,売出価格,外税,,,
11555,有機化成肥料666　500g,#4513272088202,358,,外税,,,
10833,葉物野菜の肥料　5kg,#4513272010128,1230,,外税,,,
11556,じゃがいもの肥料888　2kg,#4513272016014,890,,外税,,,
10834,根もの野菜の肥料　5kg,#4513272010074,1300,通常価格,外税,,,
10834,根もの野菜の肥料　5kg,#4513272010074,1200,売出価格,外税,,,
11557,花ぼーろ　500g,#4513272014058,328,,外税,,,
10835,カルシウム入り野菜肥料　5kg,#4513272013167,1140,,外税,,,
11558,いちごの肥料　550g,#4513272021094,328,,外税,,,
12088,ポテトバック　12L,#4535885700906,950,,外税,,,
10836,有機100%野菜の肥料　5kg,#4513272010142,1380,,外税,,,
11559,苦土石灰　顆粒　1kg,#4952497010108,228,,外税,,,
10837,庭木と果樹の肥料　5kg,#4513272099215,1140,,外税,,,
11560,有機100%野菜の肥料　1kg,#4513272011057,498,通常価格,外税,,,
11560,有機100%野菜の肥料　1kg,#4513272011057,398,売出価格,外税,,,
10838,ハイパワー堆肥　5kg,#4513272010166,1100,,外税,,,
11561,なすの肥料　550g,#4513272088240,328,,外税,,,
10839,実もの野菜の肥料　5kg,#4513272010135,1300,通常価格,外税,,,
10839,実もの野菜の肥料　5kg,#4513272010135,1200,売出価格,外税,,,
11562,バラの肥料　2kg,#4513272088073,758,,外税,,,
10840,有機100%野菜の肥料　10kg,#4513272010159,2300,通常価格,外税,,,
10840,有機100%野菜の肥料　10kg,#4513272010159,2100,売出価格,外税,,,
11563,きゅうり・ゴーヤの肥料　550g,#4513272088257,328,,外税,,,
10857,タバコの粉　2kg,#4560372150087,980,,外税,,,
11564,球根の肥料　550g,#4513272088042,328,,外税,,,
11565,トマトの肥料　550g,#4513272088233,328,,外税,,,
11566,洋ランの肥料　550g,#4513272012177,458,,外税,,,
11567,菊の肥料　550g,#4513272088134,328,,外税,,,
11655,花と野菜の肥料　1.2kg,#2000000005805,430,,外税,,,
11020,野菜の培養土　ハイポネックス　14L,#4977517038139,580,,外税,,,
11105,超速効早効き野菜の肥料　1kg,#4513272012184,400,,外税,,,
11106,超速効早効き野菜の肥料　5kg,#4513272011033,1230,,外税,,,
11688,観葉植物の土　5Ｌ,#4950465010358,380,,外税,,,
11689,洋ランの土　5L,#4950465010457,480,,外税,,,
12068,カルスNCーR 1kg,#4580184271145,1500,通常価格,外税,,,
12068,カルスNCーR 1kg,#4580184271145,1400,売出価格,外税,,,
12089,じゃがりこ　バケ土,#4535885249207,1400,,外税,,,
12285,イネニカ　小袋　1.8kg,#2000000006666,480,通常価格,外税,,,
12285,イネニカ　小袋　1.8kg,#2000000006666,430,売出価格,外税,,,
12368,カップヌー土ル,#4535885249344,980,,外税,,,
12415,ニームペレット　1.2kg,#4936997200313,880,,外税,,,
12566,野菜専科　２ｋｇ,#4979934001635,798,,外税,,,
